id,pref_label_en,also_known_as,code_status,definition
procure-to-pay,Procure to pay,source-to-pay; purchase-to-pay,provisional,From identifying a need for goods or services through to settling the supplier invoice and retaining the evidence.
order-to-cash,Order to cash,lead-to-cash; quote-to-cash,provisional,From a customer order through to collected payment and the record of it.
hire-to-retire,Hire to retire,recruit-to-retire,provisional,From an open role through to a former employee whose entitlements and records are closed out.
